Outcome,Participants,Start Date,End Date,Duration,Key Figures,Impact,Location,Casualties,Key Events,Death Toll,Cause,Major Events,Key People,Territories Involved,Parties Involved,Foreign Supporters,Trigger,Significance,Supported by,Total Casualties,Key Factors,Outcomes,Leader,Opposition,,Slavery,Reform,Labor,Territories,Military Strength,Factions,Key Event,Event,Causes,Resolution,Other Names,Pakistan,Period,Paramilitaries,Parties,Objectives,Key Reasons,Demands,Supporters,Background,Estimated Death Toll,Objective,Main Events,First,Second,Third,Key Phases,Insurgents,Belligerents,Atrocities,Significant Events,Trigger Event,International Support,Key Outcome,Main Parties,Al-Qaeda,Government,Rebels,Rebel Leaders,Northern Iraq,Main Phase,Later Phase,Aceh War,Afghan coup,Saur Revolution,Civil Wars,NATO Invasion,Taliban Insurgency,ISIS Conflict,Government of Algeria,FIS loyalists,GIA,EIJ,"This table compiles the main parties involved in the Algerian Civil War along with their key figures, respective supporters, the duration of the conflict, and the estimated fatalities. It provides a structured overview of the key players in the conflict and their alliances, helping to understand the complex dynamics of the civil war in Algeria.",1960s,French Algeria,1990s,Central Cause,Key Demands,Significant Events/Factors,Notable Battles,Setbacks,MPLA,UNITA,FNLA,Cuban Forces,Soviet Forces,South African Forces,Romanian Forces,Context,Commission,Violence,Military Deaths,Key Cause,Major Result,Territory Changes,Total Troops,Fronts,War,--------------------,"The tables above provide a concise breakdown of the key details regarding the participants, troop numbers, battlefronts, and outcomes of the First and Second Balkan Wars, shedding light on the complexity and historical significance of these conflicts in the early 20th century.",Provisional Government of Bangladesh,India,Paramilitary Forces / Militias,"This table organizes the information related to the key figures, military forces, systematic events, and final outcome of the Bangladesh Liberation War, offering a structured overview of the conflict.",Boko Haram,ISWAP,Ansaru,Nigerian Government,October 1992–94,May 1992–94,1994–95,"This table outlines the key timing, belligerents, main figures, and supporting countries involved in the Bosnian War, capturing the complex and multi-ethnic nature of the conflict that led to the breakup of Yugoslavia.",Use of Children,Ethnic Background,Independence,First Multi-party Elections,Main Opponents,Campaign Direction,Significant Battles,Contenders,Reasons,Regional Component,Carlist Goal,Countries,Territory,Factors,Reason,1927–1937,1946–1949,Post-1949,Government of Colombia,Guerrillas,"This table provides a clear overview of the main participants in the Colombian conflict, their international supporters, and key figures leading the guerrilla group FARC. It presents the primary actors in the ongoing conflict and their affiliations.",Rodrigo Duterte,Delfin Lorenzana,Eduardo Año,Jose Faustino Jr.,Andres Centino,Dionardo Carlos,Felipe Natividad,Jose Maria Sison,Fidel Agcaoili,Luis Jalandoni,Benito Tiamzon,Wilma Austria,Jorge Madlos,Jaime Padilla,------------------------,Armed Forces of the Philippines,Philippine National Police,New People's Army,Proxy Conflict,Establishment,Recognized by,Treaty,Casualties (Royalists),Casualties (Parliament),Key Participants,National Socialist Council of Nagaland,Naga National Council,Zaire,AFDL,Allied Militias,"This table outlines the main participants of the First Congo War, including Zaire and AFDL as the main adversaries, along with a list of allied militias and their respective supporting countries. This information highlights the complex web of alliances and conflicts that characterized the war.",Major Stages,Alliances,France,Spain,Allies,Main Phases and Wars,Mexican Republicans,Second French Empire,Locations Involved,Primary Parties,Significant Figures,Geographic Spread,Anabaptist Support,Religious Leaders,Anti-Swedish Coalition,Denmark–Norway,Saxony–Poland,Great Britain,Brandenburg-Prussia,Swedish Allies,Ottoman Empire,"The table comprehensively outlines the participants involved in the Great Northern War, providing details about the leaders of the anti-Swedish coalition, Swedish allies, and the participation of the Ottoman Empire. This information helps in understanding the dynamics of the conflict and the various key figures and alliances that shaped the outcome of the war.",Key Impact,Involvement,Military Losses,Reason for Invasion,Response,"This table provides a concise overview of the key aspects of the Gulf War, including the major participants, casualties, military losses, key phases of the war, reasons behind Iraq's invasion of Kuwait, and the international response to the conflict.","This table provides a structured overview of the major parties involved in the ongoing insurgency in Pakistan, including key figures, military strengths, casualties, and the displacement of civilians due to the conflict. It highlights the complexity and intensity of the armed conflict in the region.",Government/Army Involved,End of Conflict,Separatist Groups,States Affected,History,Current Status,Parties involved in Conflict,Autonomous Zones Established,Call for Independence/Autonomy,Involvement of Tatmadaw,Conflict History,Massacres,Other Conflicts,Start of War Soldiers,Military Dead (Estimates),Primary Event,Final Event,International Incidents,Post-invasion,Post-invasion Insurgency,Civil War,Insurgency,"Given the lengthy nature of the conflict, the table presents an overview of the key phases, parties involved, notable figures, military strengths, and casualties, helping to comprehend the complexity and impact of the Iraq War.",KDP,PUK,ICP,INC,SCIRI,Mandatory Iraq,Kingdom of Iraq,Iraqi Republic,Ba'athist Iraq,Timeline,Lendu ethnic group,Hema ethnic group,RCD-KisanganiFAPC Uganda,Democratic Republic of the Congo,Joseon,Ming,Japan,"This table summarizes the key political leaders, military commanders, military strengths, and casualties of the Joseon, Ming, and Toyotomi sides involved in the Japanese invasions of Korea from 1592 to 1598.",M23,CNDP,FDLR,Mai-Mai militias,MONUSCO,Joseph Kabila,Félix Tshisekedi,1943,1946,1966–7,1979,2004–2011,2016–present,"This table provides a structured overview of the Kurdish separatist movements in Iran, listing key figures, supporting factions, and the death tolls associated with the various periods of conflict. It highlights the evolution of the conflict from tribal revolts to organized political separatism and ongoing armed struggles.",Grand National Assembly,Republic of Kurdistan,Kurdistan Workers' Party,Kocgiri,Said,Ararat,Dersim,"This table presents detailed information on the key parties involved in the Kurdish nationalist uprisings in Turkey, their key figures, military strengths in different regions, and casualties incurred during the conflicts. The table offers a structured overview of the complexities of the uprisings and helps in understanding the scale and impact of the Kurdish-Turkish conflict during this period.",PLO,ASALA,Hezbollah,Iran,Lebanese Armed Forces,UNIFIL,Arab Deterrent Force,Lebanese Front,-,UPDF,FARDC,FACA,SPLA,Malagasy Strength,French Strength,Dates,Payment Agreement,Number of Invasions,Leaders of Invasions,Impact on Nawab's Armies,Population Toll,Support from,1910–1911,1913–1914,1914–1915,1915–1920,Deaths Estimates,Key Causes,Groups involved,Ethnic Composition of Participants,Reasons for Rebellion,Suppression by,Key Parties,Former Support,Support,Territory Dispute,Ceasefire Agreements,Recent Escalation,Leaders,Key Casualties,Key Leaders,Major Battle/Event,Significant Event,Factor,Alias,Main Cause,Significant Figure,Dominions Created,Legal Basis,Lasting Effects,"This structured table presents a concise overview of the key information related to the partition of India in 1947, highlighting the creation of India and Pakistan as dominions, the legal basis for the partition, the impact on population displacement and violence, and the lasting effects on the relationship between the two nations.",Main Theaters of War,Time Frame,Involved Parties,Primary Reason,Relationship Dynamics,Tactics,Syrian Democratic Forces,Islamic State of Iraq and the Levant,al-Nusra Front,Ahrar ash-Sham,Other Rebel Factions,Human Rights Violations,US Involvement,Atrocities Breakdown,Accountability,Socioeconomic Inequality,Mai Mai,RCD,Uganda,Region of Intense Fighting,Military Casualties,Central Sudanese Govt,Sudan People's Liberation Army,Nuer White Army,Ugandan Insurgents,SSDF SPLA Dissidents,Various Insurgent Groups,Supportive Countries,Government Forces,External Military Support,Fourth,1986–1991,1992–1995,2006,2006–2009,2009–present,Sunni Mujahideen,Shia Mujahideen,Marxist-Leninist-Maoist,Soviet forces,Afghan forces,Royalists,Patriots,Royalist Forces,Main Patriot forces,Main Figures,Political Ideologies,Spanish Commanders,Indigenous Allies,Aztec Commanders,Major Battles,Inca Empire Expansion,Governance,First Encounter Date,Spanish Key Figures,Maya Warriors' Weapons,Spanish Weapons,Maya Tactic,Impact of Diseases,Initial Landfall and Battles,Syrian Arab Republic (Assad),Rojava,Syrian Interim Government,Free Syrian Army,Syrian Opposition/HTS,ISIS,"This table presents a concise overview of the key groups involved in the Syrian civil war, including their key figures, military strengths, death tolls, and foreign involvement. This information helps in understanding the complexity and scale of the ongoing conflict in Syria.",Co-belligerents,Co-Commanders,Estimated Total Deaths,Population Declines,Related Conflicts,Religious Context,Major Players,Initial Trigger,Phases,Involvement of Powers,Transformation,Treaties,Ongoing,War Crimes,Humanitarian Truce,Leadership,Accomplishments,Prosperity Era,Downfall,Successor,End Reason,Origin,Meaning,Political Climate,"This structured table details the key aspects of the Tây Sơn dynasty based on the information provided in the background text, offering a concise overview of the dynasty's history and significance in Vietnamese history.",National Resistance Army,West Nile rebels,Ugandan military,Pro-government militias,Supreme Caracas Junta Establishment,Venezuelan Declaration of Independence,Loss of First Republic of Venezuela,"Bolívar-led ""Admirable Campaign""",Establishment of Second Republic of Venezuela,Independence from Spain (long-lasting),Creation of Gran Colombia,Separation of Venezuela as a sovereign state,Total Military Dead,Total Military Wounded,Phases of Conflict,American Intervention,Post-Paris Peace Accords Period,Other Operations,Invasion,Transitional Afghan Govt,Taliban,Afghan Security Forces,Contractors,HIG,Fidai Mahaz,"This table provides a structured overview of the key parties, military strengths, key figures, casualties, and major operations during the War in Afghanistan from 2001 to 2021. It highlights the complexity and scale of the conflict, involving multiple parties and significant human costs.",Iraq,Islamic State,Kurdish Forces,Iranian Allies,Insurgent Groups,"This table outlines the main parties involved in the 2013–2017 war in Iraq, including key figures, military strengths of various groups, casualty figures, and foreign interventions. It provides a structured overview of the significant actors in the conflict and their contributions to the outcomes.",Motivation,Qing Dynasty,Society Origin,Revived Movement,Locations,Major Campaigns,Supreme Political Council,Southern Movement,Ansar al-Sharia,Houthi rebellion,Saudi Arabian intervention,trigger
Habsburg dominance in Italy,,,,,,"Economic growth, technological advancements",,,,,,"French invasion of Naples, Peace of Cateau-Cambrésis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"France, Spain, Holy Roman Empire, Milan, Venice",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1494-1559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italian Wars
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,"3,000 militia",-,750 FARDC troops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ituri conflict
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,000,000+ deaths, 50,000–60,000 captives",-,"100,000+ soldiers killed","This table summarizes the key political leaders, military commanders, military strengths, and casualties of the Joseon, Ming, and Toyotomi sides involved in the Japanese invasions of Korea from 1592 to 1598.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Japanese invasions of Korea
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,"Babacar Gaye, Gen. Carlos Alberto dos Santos Cruz",-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kivu Conflict
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,"30,000 civilians",-,-,"This table provides a structured overview of the Kurdish separatist movements in Iran, listing key figures, supporting factions, and the death tolls associated with the various periods of conflict. It highlights the evolution of the conflict from tribal revolts to organized political separatism and ongoing armed struggles.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kurdish separatism in Iran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,500 rebels killed,"15,000-40,000 civilians killed","4,500 civilians killed","10,000-13,160 civilians killed","This table presents detailed information on the key parties involved in the Kurdish nationalist uprisings in Turkey, their key figures, military strengths in different regions, and casualties incurred during the conflicts. The table offers a structured overview of the complexities of the uprisings and helps in understanding the scale and impact of the Kurdish-Turkish conflict during this period.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kurdish–Turkish conflict
"Displacement of millions, lack of public order, civil authority, and media coverage, allegations of Catholic Church involvement","Colombian Conservative Party, Colombian Liberal Party and allied militias, Colombian Communist Party","April 9, 1948",1958,,,,Mainly rural Colombia,,"Assassination of Jorge Eliécer Gaitán, Bogotazo rioting, paramilitary and guerrilla group clashes, peasant-to-peasant violence","At least 200,000 people","Assassination of Jorge Eliécer Gaitán, political power struggles, land disputes leading to peasant-to-peasant violence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La Violencia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975-1990,-,-,-,-,-,-,1977-1982,1984-1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lebanese Civil War
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,"1,500",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lord's Resistance Army insurgency
"Suppression of the uprising, impact on Malagasy nationalist movement, continued colonization by France",,March 1947,February 1949,,"Joseph Raseta, Joseph Ravoahangy, Jacques Rabemananjara",,,"Malagasy: 11,000-100,000, French: 550 nationals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mass executions, torture, war rape, collective punishment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Over one million fighters,"18,000 troops",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malagasy Uprising
,,,,,,,,,,,,,,,,,,,,,,,Maratha Maharaja Raghoji Bhonsle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August 1741 - May 1751,"Rs. 1.2 million of chauth, Rs. 3.2 million payment",5,"Bhaskar Ram Kolhatkar, Raghoji Bhonsle, Janoji, Sabaji",Heavy destruction,Heavy toll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maratha expeditions in Bengal
,Mexican Government and Drug Trafficking Syndicates,,,,,,,"400 servicemen killed, 137 missing, 4,038 Federal, State, and Municipal Police killed, 61,000 missing, 66 members of the Grupos de Autodefensa Comunitaria killed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mexican drug war is the Mexican theater of the global war on drugs, escalated after the arrest of Miguel Ángel Félix Gallardo leading to cartels fighting for control of territory and trafficking routes, rise of influence of Mexican drug cartels post-Colombian cartel era.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States, Colombia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mexican drug war
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Porfiriato,Constitutionalists,Conventionists,"Villistas, Zapatistas, Felicistas, Forces led by Aureliano Blanquet, Forces led by Álvaro Obregón",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mexican Revolution
,,,,Late 18th century to mid-19th c CE,,,,,,,,,,,,,,"Formation of states, ethnic identities",,,,,,,,,,,,,,,,,,,,Mfecane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-2 million (trad.),"Dispersal of populations, political, economic, environmental factors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mfecane
,,,,1854–1873,,,,Estimates up to 4.9 million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Multiple rebellions, Taiping Rebellion influence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Miao, Tujia, Bouyei","Mainly Miao, with non-ethnic Miao participants","Ethnic tensions, poor administration, poverty, land competition",Qing dynasty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miao Rebellion (1854–1873)
,,,,Since March 1968,,"Ongoing insurgency in the Mindanao region of the Philippines, with casualties and political tensions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jabidah massacre on March 18, 1968",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MNLF, MILF, Abu Sayyaf, BIFF, Ansar Khalifa Philippines","Libya, Malaysia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moro conflict
